gender,range,status,percent
Men,$0,J,4.37
Men,$0,NB,4.21
Men,$0,NJ,3.22
Men,$1-99,J,2.35
Men,$1-99,NB,3.71
Men,$1-99,NJ,1.13
Men,$100-199,J,3.48
Men,$100-199,NB,3.92
Men,$100-199,NJ,1.06
Men,$200-299,J,5.04
Men,$200-299,NB,6.17
Men,$200-299,NJ,0.95
Men,$300-399,J,3.75
Men,$300-399,NB,3.90
Men,$300-399,NJ,0.96
Men,$400-499,J,4.99
Men,$400-499,NB,6.82
Men,$400-499,NJ,1.26
Men,$500-599,J,7.79
Men,$500-599,NB,7.71
Men,$500-599,NJ,2.02
Men,$600-799,J,6.44
Men,$600-799,NB,6.22
Men,$600-799,NJ,2.60
Men,$800-999,J,8.81
Men,$800-999,NB,7.90
Men,$800-999,NJ,3.22
Men,$1000-1199,J,9.78
Men,$1000-1199,NB,8.75
Men,$1000-1199,NJ,4.45
Men,$1200-1499,J,11.70
Men,$1200-1499,NB,11.47
Men,$1200-1499,NJ,5.88
Men,$1500-1999,J,9.72
Men,$1500-1999,NB,10.08
Men,$1500-1999,NJ,11.08
Men,$2000-2499,J,8.30
Men,$2000-2499,NB,6.13
Men,$2000-2499,NJ,11.18
Men,$2500-4999,J,8.66
Men,$2500-4999,NB,7.99
Men,$2500-4999,NJ,36.15
Men,$5000+,J,4.82
Men,$5000+,NB,5.01
Men,$5000+,NJ,14.84
Women,$0,J,10.27
Women,$0,NB,7.13
Women,$0,NJ,14.30
Women,$1-99,J,3.85
Women,$1-99,NB,4.29
Women,$1-99,NJ,3.10
Women,$100-199,J,5.40
Women,$100-199,NB,6.38
Women,$100-199,NJ,2.30
Women,$200-299,J,7.89
Women,$200-299,NB,8.57
Women,$200-299,NJ,2.20
Women,$300-399,J,7.39
Women,$300-399,NB,6.37
Women,$300-399,NJ,2.00
Women,$400-499,J,6.16
Women,$400-499,NB,7.12
Women,$400-499,NJ,2.50
Women,$500-599,J,10.98
Women,$500-599,NB,5.45
Women,$500-599,NJ,3.40
Women,$600-799,J,8.91
Women,$600-799,NB,9.45
Women,$600-799,NJ,4.10
Women,$800-999,J,8.67
Women,$800-999,NB,7.65
Women,$800-999,NJ,4.80
Women,$1000-1199,J,9.40
Women,$1000-1199,NB,7.15
Women,$1000-1199,NJ,5.40
Women,$1200-1499,J,9.02
Women,$1200-1499,NB,6.81
Women,$1200-1499,NJ,6.60
Women,$1500-1999,J,5.89
Women,$1500-1999,NB,4.99
Women,$1500-1999,NJ,11.40
Women,$2000-2499,J,7.14
Women,$2000-2499,NB,7.35
Women,$2000-2499,NJ,9.80
Women,$2500-4999,J,6.09
Women,$2500-4999,NB,7.13
Women,$2500-4999,NJ,23
Women,$5000+,J,3.21
Women,$5000+,NB,4.17
Women,$5000+,NJ,5.20
