year,status,number
1983,Pre-trial,119117
1983,Convicted,109710
1984,Pre-trial,123085
1984,Convicted,120189
1985,Pre-trial,127588
1985,Convicted,131689
1986,Pre-trial,148080
1986,Convicted,133687
1987,Pre-trial,160026
1987,Convicted,144200
1988,Pre-trial,179626
1988,Convicted,162535
1989,Pre-trial,207108
1989,Convicted,180334
1990,Pre-trial,211496
1990,Convicted,199388
1991,Pre-trial,223019
1991,Convicted,204614
1992,Pre-trial,233390
1992,Convicted,216781
1993,Pre-trial,256707
1993,Convicted,216435
1994,Pre-trial,273433
1994,Convicted,214662
1995,Pre-trial,291272
1995,Convicted,227230
1996,Pre-trial,306546
1996,Convicted,220264
1997,Pre-trial,322063
1997,Convicted,242270
1998,Pre-trial,334139
1998,Convicted,259452
1999,Pre-trial,334378
1999,Convicted,278919
2000,Pre-trial,348310
2000,Convicted,281208
2001,Pre-trial,366649
2001,Convicted,274685
2002,Pre-trial,389795
2002,Convicted,275568
2003,Pre-trial,407817
2003,Convicted,286223
2004,Pre-trial,422438
2004,Convicted,297439
2005,Pre-trial,451853
2005,Convicted,284887
2006,Pre-trial,462692
2006,Convicted,299131
2007,Pre-trial,471514
2007,Convicted,298498
2008,Pre-trial,478114
2008,Convicted,300087
2009,Pre-trial,458640
2009,Convicted,314257
2010,Pre-trial,437717
2010,Convicted,320915
2011,Pre-trial,425081
2011,Convicted,324913
2012,Pre-trial,440324
2012,Convicted,312674
2013,Pre-trial,460062
2013,Convicted,299410
2014,Pre-trial,466225
2014,Convicted,296896
2015,Pre-trial,446907
2015,Convicted,286063
2016,Pre-trial,457737
2016,Convicted,275390
2017,Pre-trial,469451
2017,Convicted,271060
2018,Pre-trial,478192
2018,Convicted,258934
