algorithm,falsepositive
MICROSOFT-006,0.001
NEC-003,0.0011
TOSHIBA-000,0.0023
HIK-005,0.0025
COGENT-003,0.0029
COGNITEC-003,0.0029
SENSETIME-003,0.003
TIGER-002,0.0032
NTECHLAB-008,0.0034
PARAVISION-005,0.0034
DAHUA-002,0.0035
IDEMIA-007,0.0037
VISIONLABS-008,0.0038
TEVIAN-005,0.0039
INCODE-004,0.004
ANKE-002,0.0041
CYBERLINK-001,0.0043
DEEPSEA-001,0.0044
INNOVATRICS-005,0.0044
PIXELALL-003,0.0044
RANKONE-007,0.0044
REMARKAI-002,0.0045
VOCORD-005,	0.0046
NUEROTECHNOLOGY-007,0.0048
TECH5-001,0.0049
DERMALOG-006,0.0053
GORILLA-004,0.0056
INSYSTEMS-003,0.0067
MEGVII-001,0.007
CAMVI-004,0.0081
KNERON-000,0.0082
ALLGOVISION-000,0.0092
TONGYTRANS-001,0.0092
3DIVI-005,0.0097
KEDACOM-001,0.0097
LOOKMAN-005,0.01
ALCHERA-003,0.0117
REALNETWORKS-004,0.0146
YISHENG-001,0.0152
AWARE-005,0.0159
VD-001,0.018
SHAMAN-007,0.0286
VIGILANTSOLUTIONS-003,0.0407
EYEDEA-003,0.0477
GLORY-001,0.0815
SYNESIS-005,0.113
NOBLIS-002,0.1257
IMAGUS-002,0.1467
SIAT-001,0.2126
AYONIX-002,0.2189
MICROFOCUS-005,0.3152
F8-001,0.5359
SCANOVATE-000,0.7782
SMILART-004,.8188
